Distributing Body,Good Cause,Recipient Name,Project Name,Grant Date,Grant Amount,Programme Name,County,Postal Town,Local Authority,Electoral Ward,Region,UK Constituency,EU Constituency
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",The Parochial Church Council of Keynsham,"This is a project to install roof insulation and replace the windows in the community hall in a rural village. This will improve the facilities of the hall increasing its use by community groups, and improve energy efficiency. Funding is for roof insulati",30/07/2013,10000,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Oldbury on Severn Parish Plan,"This is a project from the village of Oldbury on Severn, Gloucestershire. The group will use the funding purchase a portacabin and establish a community run shop. This is due to the village not having any such facilities within 3 miles. The enterprise wil",29/07/2013,42000,Village SOS Active,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath and North East Somerset Carers Centre,"This project that aims to increase the understanding and support for unpaid carers in Bath and North East Somerset. Based on existing work, this project will bring together and expand on a number of separate projects currently run by Bath and North East S",16/07/2013,298471,Reaching Communities,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath Area Play Project,"This existing project by Bath Area Play Project (BAPP) aims to support vulnerable families and their children to build relationships and secure attachment through play. It will continue to work directly with children, young people and families to tackle inter-generational disadvantages affecting families and their relationship with their children. The project will target families in Twerton, Weston, Foxhill, Southdown and Weston areas of Bath and North East Somerset.",15/07/2013,314287,Reaching Communities,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure","MND Association- Bristol, Bath, Weston & Winsley Group","This is a project to set up support groups for people who live with Motor Neurone Disease. This will enable the beneficiaries to meet up with carers and the people they care for to share skills, experiences and to socialise which can be very difficult normally. Funding incls venue hire, transport, refreshments, speakers, trip, and xmas lunch.",04/07/2013,3777,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Radstock Museum,Mining the Past,03/07/2013,10000,,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Creativity Works for Everyone,Collaborate,05/05/2011,66468,Grants for the arts,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Save our Soldier,"This is a project to provide transport and accommodation for veterans and their families attending the group's Post Traumatic Stress Injury programme. It will also provide training for coaches to deliver the programme off site to veterans who are unable to travel due to mental health issues. Funding incs transport, accommodation, subsistence, training, and materials.",20/06/2013,9810,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,The Herschel House Trust,Making Light of It,05/06/2013,3100,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Bath Industrial Heritage Trust,Landscapes and Livelihoods: Local distinctiveness and Bath at work,05/06/2013,18000,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Stanton Prior Village Day Committee,"This is a project by a community organisation in Stanton Prior, Bath. The group will use the funding to replace the roof on their village hall as part of a refurbishment programme. This will improve the community building, increasing its usage and allowin",28/05/2013,10000,Awards for All,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath and District Citizens Advice Bureau,"This new project seeks to devise more efficient working methods, reduce costs, diversify income streams, move into novel areas of work and improve service outcomes based on clear identification of client need.",22/05/2013,151714,Advice Services Transition Fund,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath and North East Somerset Council,Recycle an Ex Library Book Competition 2013,16/05/2013,1650,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,City of Bath College,COBC Get Active,04/05/2013,30900,Further Education Activation Fund,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Widcombe C of E Junior School,"This is a project by a school in Bath, Somerset. The school will use the funding to purchase new play equipment and an all weather safety surface to improve the safety of its playground. This will provide an improved play facility for children at the scho",09/04/2013,10000,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",St Michael's C of E  VC Junior School,"This is a project by a school in Bath, Somerset. The group will use the funding to install a PlayPod in the playground for pupils and to train staff in its use. This will provide facilities for the children to explore recyclable materials which will encou",09/04/2013,10000,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Minerva Bath Rowing Club,Project Water & Waste,26/03/2013,50000,Inspired facilities,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Natural Theatre Company,Natural Diversions,26/03/2013,12041,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Bath Preservation Trust,Building Post-war Bath,20/03/2013,12200,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Moorlands Infant School,"This is a project by the Moorlands Schools Federation in Bath, Somerset. The federation will use the funding to provide ICT sessions to children and their families who lack access to such computers or the internet outside of school. This will increase the",05/03/2013,9966,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Ramshacklicious Theatre Company,Ugly (working title),26/02/2013,9940,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Bath and North East Somerset Council,Odd Down Community Hub Club,24/01/2013,141403,Inspired facilities,,BATH,Bath and North East Somerset,,South West,Bath,South West
British Film Institute ,Arts,Bath Film Festival,Movies on the Move,23/01/2013,4000,Exhibition,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Moorland Junior School,"This is a project by a school in Bath, Somerset. The school will use the funding to install outdoor play equipment for pupils. This will improve the facilities to enable beneficiaries to access extra-curricular physical activities and learning.",21/01/2013,10000,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
British Film Institute ,Arts,Bath Film Festival,Organisational Development,21/01/2013,10000,Organisational Dev,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Institute of Contemporary Interdisciplinary Arts,Bath Dance,16/01/2013,64405,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Bath Cricket Club,Bath CC Community Cricket Project,03/01/2013,50000,Inspired facilities,,BATH,Bath and North East Somerset,,South West,Bath,South West
