incident_number,datetime,ward,location,incident_category,type_0,type_1,type_2,type_3,x_coordinate,y_coordinate,unitary_authority,origin_of_call,property_category,property_type,is_primary_fire,cause_of_fire,is_property_derelict,is_property_occupied_at_the_incident,property_normally_occupied,is_fire_confined_to_chimney,how_fire_was_discovered,main_cause_of_fire,ignition_source,ignition_source_powered,item_first_damaged,item_responsible_for_spread_of_fire,main_action_by_other_than_frs,main_action_by_frs,special_service_type,road_traffic_collision,false_alarm_reason,victims_involved,were_alarm_systems_present,no_of_fatalities,no_of_fire_fatalities,no_of_injuries,no_of_rescues,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
001445-20042009,04/20/2009 01:43:05 PM +0000,SOUTHDOWN,"(51.378879247282384, -2.39651117938257)",False Alarm,Building,Dwelling,Bungalow - single occupancy,,372***,164***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other cooking,no,,,,,,28,469,11,1,89
003201-14052009,05/14/2009 11:24:23 AM +0000,LYNCOMBE,"(51.37901726536445, -2.353407734154723)",Special Service,Building,Non Residential,Retail,Single shop,375***,164***,BANES,Person (land line),NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,"Flooding, Advice only",no,,no,,,,,,33,564,12,1,111
004732-03062009,06/03/2009 02:47:40 PM +0000,MIDSOMER NORTON NORTH,"(51.288699783947536, -2.467433694010908)",Special Service,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,367***,154***,BANES,Ambulance,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,"Medical Incident - First responder, Chest Pain / Cardiac Arrest / Heart condition",no,,yes,,0,0,1,0,26,510,26,1,97
016484-06112009,11/06/2009 01:39:58 PM +0000,KEYNSHAM NORTH,"(51.42345193748686, -2.4975722393895747)",Special Service,Road Vehicle,Car,,,365***,169***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Extrication of person/s",yes,,yes,,0,0,1,0,24,161,1,1,48
005924-17062009,06/17/2009 07:46:25 AM +0000,TIMSBURY,"(51.3246656329933, -2.467799421163116)",False Alarm,Building,Dwelling,House - single occupancy,,367***,158***,BANES,AFA from call centre,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,14,459,16,1,87
008440-21072009,07/21/2009 02:05:37 PM +0000,WIDCOMBE,"(51.37002577927021, -2.3533384594150153)",False Alarm,Building,Non Residential,Education,Infant/primary school,375***,163***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Education > Infant/primary school,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Testing,no,,,,,,33,575,12,1,110
006675-27062009,06/27/2009 03:59:50 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Retail,Single shop,375***,165***,BANES,Person (land line),NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,36,498,6,1,96
008020-15072009,07/15/2009 06:05:13 PM +0000,TWERTON,"(51.38787067528191, -2.396588936586609)",False Alarm,Building,Other Residential,Other Residential Home,,372***,165***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Other Residential Home,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,29,315,8,1,16
003445-17052009,05/17/2009 10:08:27 PM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",False Alarm,Outdoor,Other outdoors (including land),Loose refuse (incl in garden),,374***,165***,BANES,Police,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,34,200,9,1,115
008671-25072009,07/25/2009 01:41:57 AM +0000,NEWBRIDGE,"(51.38791845815606, -2.382218344259114)",Fire,Road Vehicle,Car,,,373***,165***,BANES,Person (land line),RoadVehicle,Road Vehicle > Car,yes,Not known,no,,,,Persons,Other,Not known,Not known,Not known,"Foam, rubber, plastic -> Foam - raw material only",None,,,no,,no,,,,,,34,202,9,1,54
002677-07052009,05/07/2009 04:13:55 AM +0000,FARMBOROUGH,"(51.35158159181407, -2.482433289425764)",Fire,Outdoor,Other outdoors (including land),Other outdoor location,,366***,161***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > Other outdoor location,yes,Deliberate ? others property,no,,,,Persons,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Not known,Not known,Not known,Wood -> Other wooden. Including Fence,None,,,no,,no,,,,,,8,130,16,1,40
007792-11072009,07/11/2009 05:22:22 PM +0000,TWERTON,"(51.37892701488056, -2.382143402571019)",Fire,Outdoor,"Grassland, woodland and crops","Grassland, pasture, grazing etc",,373***,164***,BANES,Person (land line),Outdoor,"Outdoor > Grassland, woodland and crops > Grassland, pasture, grazing etc",no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,32,528,13,1,103
012624-16092009,09/16/2009 10:55:01 AM +0000,NEWBRIDGE,"(51.38791845815606, -2.382218344259114)",False Alarm,Road Vehicle,Car,,,373***,165***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,34,202,9,1,54
010647-19082009,08/19/2009 07:06:29 PM +0000,BATHAVON NORTH,"(51.39712243762106, -2.3104257253397282)",False Alarm,Outdoor,Outdoor equipment and machinery,Cables,,378***,166***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor equipment and machinery > Cables,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,1,45,10,1,24
007179-22072014,07/22/2014 03:53:05 PM +0000,MENDIP,"(51.32442218456275, -2.525201731957796)",False Alarm,Building,Dwelling,Bungalow - single occupancy,,363***,158***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,,5,97,20,1,34
013820-30092009,09/30/2009 06:13:56 PM +0000,ABBEY,"(51.37901726536445, -2.353407734154723)",False Alarm,Building,Non Residential,Transport buildings,Bus/coach station/garage,375***,164***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Transport buildings > Bus/coach station/garage,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,,33,564,12,1,111
004974-05062009,06/05/2009 11:20:30 AM +0000,LAMBRIDGE,"(51.40603416354781, -2.339239433659037)",False Alarm,Building,Dwelling,House - single occupancy,,376***,167***,BANES,AFA from call centre,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,1,32,10,1,23
004900-04062009,06/04/2009 09:53:29 PM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Non Residential,Hospitals and medical care,Hospital,373***,166***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,20,546,5,1,107
000526-07042009,04/07/2009 06:51:24 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Special Service,Building,Other Residential,Hotel/motel,,375***,165***,BANES,Person (land line),OtherResidential,Building > Other Residential > Hotel/motel,,,,,,,,,,,,,,,"Lift Release, For able bodied person not in distress",no,,yes,,0,0,0,2,36,498,6,1,96
006892-30062009,06/30/2009 03:06:37 PM +0000,OLDFIELD,"(51.37892701488056, -2.382143402571019)",False Alarm,Road Vehicle,Car,,,373***,164***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Overheating appliance,no,,,,,,32,528,13,1,103
007122-03072009,07/02/2009 11:58:51 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Retail,Single shop,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,36,498,6,1,96
001728-23042009,04/23/2009 01:57:56 PM +0000,RADSTOCK,"(51.29785523609656, -2.4244980543039976)",False Alarm,Outdoor,"Grassland, woodland and crops","Grassland, pasture, grazing etc",,370***,155***,BANES,Police,Outdoor,"Outdoor > Grassland, woodland and crops > Grassland, pasture, grazing etc",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,9,63,22,1,28
006571-26062009,06/26/2009 01:45:41 AM +0000,ODD DOWN,"(51.36099006304717, -2.3676314465748853)",Special Service,Building,Dwelling,House - single occupancy,,374***,162***,BANES,Ambulance,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Effecting entry/exit, For medical case",no,,yes,,0,0,1,0,18,259,17,1,4
010045-11082009,08/11/2009 03:25:34 PM +0000,KINGSMEAD,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Offices and call centres,Purpose built office,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Damaged,no,,,,,,36,498,6,1,96
011415-31082009,08/31/2009 07:27:29 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Fire,Outdoor,Outdoor structures,Small refuse/rubbish/recycle container (excluding wheelie bin),,375***,165***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,36,498,6,1,96
006126-19062009,06/19/2009 11:25:41 PM +0000,TWERTON,"(51.38791845815606, -2.382218344259114)",Fire,Outdoor,Outdoor structures,Refuse/rubbish tip,,373***,165***,BANES,Person (land line),OutdoorStructure,Outdoor > Outdoor structures > Refuse/rubbish tip,no,Deliberate ? unknown owner,no,,,,,,,,,,,,,no,,no,,,,,,34,202,9,1,54
010198-13082009,08/13/2009 04:55:53 PM +0000,LANSDOWN,"(51.39695592292638, -2.367919876620639)",False Alarm,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,3 or more storeys,374***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,21,235,7,1,1
008922-28072009,07/28/2009 06:27:49 PM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Non Residential,Hospitals and medical care,Hospital,373***,166***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,20,546,5,1,107
009451-04082009,08/04/2009 04:42:01 PM +0000,ODD DOWN,"(51.369935557636936, -2.3820684996326986)",False Alarm,Building,Other Residential,Sheltered Housing - not self contained,,373***,163***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Sheltered Housing - not self contained,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,31,359,14,1,66
011168-27082009,08/27/2009 10:25:07 PM +0000,SOUTHDOWN,"(51.369935557636936, -2.3820684996326986)",Fire,Building,Non Residential,Private Garden Shed,,373***,163***,BANES,Person (land line),NonResidential,Building > Non Residential > Private Garden Shed,yes,Not known,no,no,No - unoccupied permanently (vacant),no,Persons,Other,Not known,Not known,Not known,Not known,Used hosereel,,,no,,no,no,,,,,31,359,14,1,66
011532-01092009,09/01/2009 10:52:23 PM +0000,WESTFIELD,"(51.28875617866424, -2.4530942065750367)",Fire,Building,Non Residential,Private garage,,368***,154***,BANES,Person (land line),NonResidential,Building > Non Residential > Private garage,yes,Deliberate ? others property,no,no,No - unoccupied permanently (vacant),no,Persons,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Smoking Related -> Smoking materials ,Not applicable,,,None,,,no,,no,no,,,,,26,508,26,1,99
013007-20092009,09/20/2009 01:20:19 PM +0000,WIDCOMBE,"(51.37901726536445, -2.353407734154723)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,375***,164***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Smoking,no,,,,,,33,564,12,1,111
004150-27052009,05/27/2009 07:22:51 PM +0000,RADSTOCK,"(51.297802336263274, -2.4388404326437576)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,369***,155***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Poor maintenance,no,,,,,,12,406,24,1,76
006989-01072009,07/01/2009 07:35:43 PM +0000,WIDCOMBE,"(51.37901726536445, -2.353407734154723)",False Alarm,Building,Non Residential,Offices and call centres,Converted office,375***,164***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Converted office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,33,564,12,1,111
001970-26042009,04/26/2009 06:47:59 AM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,365***,168***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other cooking,no,,,,,,37,182,2,1,52
011945-08092009,09/08/2009 02:29:03 PM +0000,LAMBRIDGE,"(51.40603416354781, -2.339239433659037)",Special Service,Building,Dwelling,House - single occupancy,,376***,167***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Flooding, Advice only",no,,no,,,,,,1,32,10,1,23
003909-24052009,05/24/2009 02:39:59 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Special Service,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,375***,165***,BANES,Police,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,"Flooding, Other",no,,no,,,,,,36,498,6,1,96
008630-24072009,07/24/2009 12:32:36 PM +0000,COMBE DOWN,"(51.36107673492661, -2.338906958613966)",Fire,Outdoor,Other outdoors (including land),Loose refuse (incl in garden),,376***,162***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),yes,Accidental,no,,,,Persons,Accidental;  Bonfire going out of control,Fuel/chemical related -> Liquids; petrol/oil related ,Not applicable,"Vegetation -> Other. Including Hay, peat","Explosives, gas, chemicals -> Petrol/Oil products",Water from bucket/container,None -> No firefighting,,no,,yes,,0,0,1,0,19,113,18,1,37
010259-14082009,08/14/2009 04:16:04 PM +0000,WIDCOMBE,"(51.38796447889967, -2.367847713155505)",Special Service,Building,Non Residential,Offices and call centres,Purpose built office,374***,165***,BANES,Person (land line),NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,"Lift Release, For able bodied person not in distress",no,,no,,,,,,34,200,9,1,115
002213-29042009,04/29/2009 05:09:58 PM +0000,WIDCOMBE,"(51.38796447889967, -2.367847713155505)",Special Service,Road Vehicle,Motorcycle,,,374***,165***,BANES,Police,RoadVehicle,Road Vehicle > Motorcycle,,,,,,,,,,,,,,,"RTC, Wash down road",yes,,no,,,,,,34,200,9,1,115
013530-26092009,09/26/2009 10:48:59 PM +0000,OLDFIELD,"(51.37897302091154, -2.367775587009803)",Fire,Outdoor,Other outdoors (including land),Loose refuse (incl in garden),,374***,164***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,33,561,12,1,109
005354-09062009,06/09/2009 09:47:03 PM +0000,WALCOT,"(51.39704270572472, -2.339172869838466)",Special Service,Outdoor,Other outdoors (including land),Highway/road surface/pavement,,376***,166***,BANES,Other,Outdoor,Outdoor > Other outdoors (including land) > Highway/road surface/pavement,,,,,,,,,,,,,,,"Medical Incident - First responder, Other",no,,yes,,0,0,1,0,23,230,4,1,58
011020-25082009,08/25/2009 12:19:37 PM +0000,BATHAVON NORTH,"(51.39712243762106, -2.3104257253397282)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,378***,166***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,1,45,10,1,24
002412-02052009,05/02/2009 06:13:13 PM +0000,BATHAVON SOUTH,"(51.31598652078952, -2.381619894270031)",Fire,Outdoor,"Grassland, woodland and crops",Straw/stubble burning,,373***,157***,BANES,Police,Outdoor,"Outdoor > Grassland, woodland and crops > Straw/stubble burning",no,Deliberate ? others property,no,,,,Persons,Not applicable,Not known,Not known,Not known,Not known,None,None -> No firefighting,,no,,no,,,,,,10,60,10,1,114
012043-09092009,09/09/2009 06:27:25 PM +0000,BATHAVON WEST,"(51.342913395533685, -2.3962005523479024)",False Alarm,Outdoor,"Grassland, woodland and crops",Straw/stubble burning,,372***,160***,BANES,Person (land line),Outdoor,"Outdoor > Grassland, woodland and crops > Straw/stubble burning",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,9,64,22,1,28
000322-05042009,04/05/2009 06:28:13 AM +0000,BATHWICK,"(51.38805123395204, -2.339106340447153)",False Alarm,Outdoor,Other outdoors (including land),Loose refuse (incl in garden),,376***,165***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate ? own property,no,,,,,,,,,,,,,no,Good Intent false alarm > Fire > Controlled burning,no,,,,,,22,71,12,1,29
009858-09082009,08/09/2009 02:33:41 AM +0000,BATHAVON NORTH,"(51.39708345304052, -2.324799314074742)",Special Service,Building,Dwelling,House - single occupancy,,377***,166***,BANES,Ambulance,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Assist other agencies, Other assistance to police/ambulance, Other",no,,no,,,,,,1,30,10,1,27
009111-31072009,07/31/2009 09:10:28 AM +0000,WALCOT,"(51.39700019568331, -2.3535463911730448)",Fire,Building,Dwelling,House - single occupancy,,375***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,yes,Accidental,no,yes,Yes - occupied,no,Persons,Accidental;  Negligent use of equipment or appliance (heat source),Cooking appliance -> Cooker incl oven,Gas ? mains,Other,Other,Smothering,None -> No firefighting,,no,,yes,no,0,0,3,0,36,500,6,1,93
010433-16082009,08/16/2009 10:33:55 PM +0000,BATHAVON NORTH,"(51.39708345304052, -2.324799314074742)",Fire,Outdoor,"Grassland, woodland and crops",Tree scrub (includes single trees not in garden),,377***,166***,BANES,Police,Outdoor,"Outdoor > Grassland, woodland and crops > Tree scrub (includes single trees not in garden)",no,Deliberate ? own property,no,,,,,,,,,,,,,no,,no,,,,,,1,30,10,1,27
005583-13062009,06/13/2009 03:42:53 AM +0000,SOUTHDOWN,"(51.378879247282384, -2.39651117938257)",Fire,Building,Non Residential,Private Garden Shed,,372***,164***,BANES,Person (land line),NonResidential,Building > Non Residential > Private Garden Shed,yes,Not known,no,don't know,No - unoccupied permanently (vacant),no,Persons,Other,Not known,Not known,Not known,Wood -> Garden shed,None,,,no,,no,no,,,,,28,469,11,1,89
